COD,Trial  #,Year,Date,Time,Site,Latitude N,Longitude W,State park,Water temp F,Air temp ?F,Method,Bait,Depth ft,Bottom type,Tidal stage,Weather,Moon phase,Species,Sex,Maturity,TL,PcL,Fork,IdL,Trunk,DW,DL,PcL3,Claspers,Acoustic Tag,Tag ,PIT tag,Satellital,DIED,RECAPTURE,DNA,SI,Barb,Notes
Ca1,2013/1,2013,41348,0.572916667,37,28 ?03.098',082 ?49.096',NT,59.7,70,Rod/Reel,,6.2,Sand,Outgoing,Sunny/calm,,Carcharhinus acronotus,M,I,58,43,48,,,,,,,,125,,N,N,N,N,N,,"Juvenile, northern tip of Caladesi"
Nb1,2013/2,2013,41348,0.583333333,NT,28 ?03.098',082 ?49.096',NT,59.7,70,Tangle net,,5.6,Sand,Outgoing,Sunny/calm,,Negaprion brevirostris,F,,117,89,98,,,,,,,,126,,N,N,N,N,N,,northern tip of Caladesi
Gci1,2013/4,2013,41372,0.630555556,NT,,,NT,,75,Longline,,,Seagrass,Outgoing,Sunny/calm,,Ginglymostoma cirratum,F,,232,163,185,,,,,164,,,195,,N,N,N,N,N,,"Electronics not working, south channel off Anclote Island"
Ca2,2013/3,2013,41372,0.666666667,NT,,,NT,,75,Longline,,,Seagrass,Outgoing,Sunny/calm,,Carcharhinus acronotus,F,,107,79,86,,,,,80,,,129,,N,N,N,N,N,,"Electronics not working, south channel off Anclote Island"
Ha1,2013/5,2013,41390,0.708333333,NT,28 ?06.554',082 ?46.984',NT,77,80,Tangle net,,3,Seagrass,Outgoing,Sunny/calm,,Hypanus americanus,F,,,,,,,57,,,,,No tag,,N,N,N,N,N,,"Also saw Atlantic, several cownose, and 2 spotted eagle"
Ha2,2013/5,2013,41390,0.708333333,NT,28 ?06.554',082 ?46.984',NT,77,80,Tangle net,,3,Seagrass,Outgoing,Sunny/calm,,Hypanus americanus,F,,,,,,,42,,,,,No tag,,N,N,N,N,N,,Boggy Bayou
Ha3,2013/5,2013,41390,0.708333333,NT,28 ?06.554',082 ?46.984',NT,77,80,Tangle net,,3,Seagrass,Outgoing,Sunny/calm,,Hypanus americanus,F,,,,,,,35,,,,,No tag,,N,N,N,N,N,,
Hsy1,2013/5,2013,41390,0.708333333,NT,28 ?06.554',082 ?46.984',NT,77,80,Tangle net,,3,Seagrass,Outgoing,Sunny/calm,,Hypanus say,F,,,,,,,35.5,,,,,No tag,,N,N,N,N,N,,
Hsy2,2013/6,2013,41390,0.75,NT,28 ?06.268',082 ?49.670',NT,77,80,Tangle net,,6,Sand,Outgoing,Sunny/calm,,Hypanus say,F,,,,,,,34,,,,,No tag,,N,N,N,N,N,,Inside southern tip of Three Rooker
Hsy3,2013/6,2013,41390,0.75,NT,28 ?06.268',082 ?49.670',NT,77,80,Tangle net,,6,Sand,Outgoing,Sunny/calm,,Hypanus say,F,,,,,,,34,,,,,No tag,,N,N,N,N,N,,
Hsy4,2013/6,2013,41390,0.75,NT,28 ?06.268',082 ?49.670',NT,77,80,Tangle net,,6,Sand,Outgoing,Sunny/calm,,Hypanus say,F,,,,,,,39,,85,,,No tag,,N,N,N,N,N,,
Hss1,2013/6,2013,41400,0.506944444,NT,28 ?06.461',082 ?46.752',NT,71.4,72,Tangle net,,2,Seagrass,Outgoing,sunny/windy,,Hypanus sabinus,F,,,,,,,28,,,,,477/476,,N,N,N,N,N,,2 tags stuck together
Gci2,2013/7,2013,41402,0.555555556,NT,28 ?14.599'',082 ?50.350',NT,70,80,Longline,,10,Sand,Outgoing,sunny/calm,,Ginglymostoma cirratum,M,M,235,164,183,,,,,67,,,175,,N,N,N,N,N,,"Mature male, ejaculated on deck, northern tip of Anclote"
Ca3,2013/8,2013,41403,0.628472222,37,28 ?02.259',082 ?49.752',NT,70,81,Longline,,33,Sand,Outgoing,Sunny/calm,,Carcharhinus acronotus,M,M,109,80,90,,,,,69,,,187,,N,N,N,N,N,,Mature male
Rt1,2013/9,2013,41403,0.479166667,NT,28 ?03.489',082 ?54.924',NT,70,80,Rod/Reel,,20,Sand,Incoming,Sunny/calm,,Rhizoprionodon terraenovae,M,M,83,64,70.5,,,,,41,,,189,,N,N,N,N,N,,mature male 
Rt2,2013/12,2013,41404,0.416666667,NT,28 ?02.340',082 ?54.559',NT,70,75,Longline,,28,Sand,Incoming,sunny/windy,,Rhizoprionodon terraenovae,M,M,86,67,74,,,,,82,,,152,,N,N,N,N,N,,Mature male
Rt3,2013/12,2013,41404,0.416666667,NT,28 ?02.340',082 ?54.559',NT,70,75,Longline,,28,Sand,Incoming,sunny/windy,,Rhizoprionodon terraenovae,M,M,91,69,75,,,,,66.5,,,565,,N,N,N,N,N,,Mature male
Cli1,2013/11,2013,41404,0.506944444,40,28 ?00.730',082 ?51.200',NT,72,82,Longline,,27,Sand,Incoming,sunny/windy,,Carcharhinus limbatus,M,I,114,82,92,,,,,75,,,557,,N,N,N,N,N,,immature male
Ca4,2013/10,2013,41404,0.618055556,41,28 ?0.449',082 ?53.742',NT,72,82,Rod/Reel,,27,Sand,Outgoing,sunny/windy,,Carcharhinus acronotus,F,,113,84,95,,,,,39.5,,,561,,N,N,N,N,N,,
Rt4,2013/14,2013,41407,0.572916667,NT,28 ?10.798',082 ?49.965',NT,72,82,Longline,,13,Sand,Outgoing,sunny/windy,,Rhizoprionodon terraenovae,M,M,88,66.5,73,,,,,60,,,517,,N,N,N,N,N,,mature
St1,2013/14,2013,41407,0.572916667,NT,28 ?10.798',082 ?49.965',NT,72,82,Longline,,13,Sand,Outgoing,sunny/windy,,Sphyrna tiburo,F,,99,75,80.5,,,,,66,,,521,,N,N,N,N,N,,
Ha4,2013/13,2013,41407,0.590277778,NT,28 ?6.553',082 ?46.930',NT,77.6,82,Tangle net,,2.8,Seagrass,Outgoing,sunny/windy,,Hypanus americanus,F,,,,,,,53,,,,,650,,N,N,N,N,N,,
Cli2,2013/15,2013,41408,0.425,19,28 ?06.513',082 ?49.332',NT,80,80,Longline,,7,Seagrass,Incoming,sunny,,Carcharhinus limbatus,F,,83,60,68,,,,,172,,,548,,N,N,N,N,N,,
Rt5,2013/16,2013,41408,0.547916667,NT,28 ?08.843',082 ?53.300,NT,80,80,Longline,,20.6,Seagrass,Incoming,sunny,,Rhizoprionodon terraenovae,M,M,86,66,69,,,,,83,,,580,,N,N,N,N,N,,Mature
Gci3,2013/16,2013,41408,0.547916667,NT,28 ?08.843',082 ?53.300,NT,80,80,Longline,,20.6,Seagrass,Incoming,sunny,,Ginglymostoma cirratum,M,M,241,172,186,,,,,62,,,520,,N,N,N,N,N,,"mature male, ejaculated on deck  "
Rt6,2013/17,2013,41408,0.618055556,NT,28 ?11.336,082 ?,NT,80,80,Rod/Reel,,20,Sand,Incoming,sunny/windy,,Rhizoprionodon terraenovae,M,M,82,62,69,,,,,69,,,534,,N,N,N,N,N,,mature
Ca5,2013/17,2013,41409,0.33125,NT,28 ?,082 ?,NT,74,82,Longline,,14.1,Sand,Outgoing,sunny/windy,,Carcharhinus acronotus,M,M,106.5,83,91,,,,,154,,,583,,N,N,N,N,N,,mature
Cli3,2013/18,2013,41410,0.569444444,25,28 ?05.67,082 ?50.991,NT,80,80,Longline,,9,Sand,Outgoing,sunny,,Carcharhinus limbatus,F,,85,62,70,,,,,169,,,502,,N,N,N,N,N,,
Gci4,2013/19,2013,41410,0.659722222,NT,28 ?04.704,082 ?51.872,NT,80,80,Longline,,20,Seagrass,Incoming,sunny/calm,,Ginglymostoma cirratum,M,M,222,154,167,,,,,97,,,537,,N,N,N,N,N,,"Mature male, ejaculated on deck"
St2,2013/20,2013,41410,0.446527778,NT,28 ?06.329,082 ?50.046',NT,73,82,Tangle net,,2.6,Sand,Incoming,sunny/calm,,Sphyrna tiburo,F,,94,71,77,,,,,,,,563,,N,N,N,N,N,,
Gci5,2013/24,2013,41414,0.471527778,NT,28 ?03.241',082 ?54.704,NT,80,85,Longline,,25,Seagrass,Outgoing,sunny,,Ginglymostoma cirratum,M,M,241,169,183,,,,,70,,,530,,N,N,N,N,N,,"mature male, ejaculated on deck"
Ca6,2013/21,2013,41414,0.558333333,1,28 ?03.486,082 ?54.599,NT,80,85,Longline,,25,Sand,Outgoing,sunny/calm,,Carcharhinus acronotus,F,,125.5,97,106.5,,,,,109,,,539,,N,N,N,N,N,,Parasite in mouth
Ha5,2013/22,2013,41414,0.431944444,NT,28 ?06.331',082 ?49.686,NT,78.6,83,Tangle net,,5.5,Seagrass,Outgoing,sunny/calm,,Hypanus americanus,M,I,,,,,,40.5,,,,,625,,N,N,N,N,N,,immature male
Hsy5,2013/23,2013,41414,0.604166667,NT,28 ?03.074,082 ?49.227,NT,83,83,Tangle net,,2.5,Sand,Outgoing,sunny/windy,,Hypanus say,M,I,,,,,,33,,,,,649,,N,N,N,N,N,,immature male
Rt7,2013/26,2013,41415,0.577777778,NT,28 ?04.451,082 ?52.491,NT,80,85,Longline,,14.5,Sand,Incoming,Sunny/calm,,Rhizoprionodon terraenovae,M,M,93,70,77,,,,,74,,,533,,N,N,N,N,N,,Mature with parasites on claspers
Ha6,2013/25,2013,41415,0.447916667,NT,28 ?06.452,082 ?46.990,NT,80.7,82,Tangle net,,3.3,Seagrass,Outgoing,sunny/calm,,Hypanus americanus,F,,,,,,,54,,,,,624,,N,N,N,N,N,,
Gci6,2013/28,2013,41416,0.586111111,NT,28 ?08.173,082 ?55.532,NT,76,84,Longline,,24,sand,Outgoing,sunny,,Ginglymostoma cirratum,F,,157,109,127,,,,,65,,,549,,N,N,N,N,N,,Very aggressive
Rt8,2013/29,2013,41416,0.656944444,NT,28 ?08.266,082 ?55.592,NT,76,84,Longline,,23,Sand,Outgoing,sunny/windy,,Rhizoprionodon terraenovae,F,,96,74,80,,,,,68,,,578,,N,N,N,N,N,,
Rt9,2013/30,2013,41416,0.702083333,NT,28 ?08.481',82 ?52.859',NT,80,84,Longline,,20.1,Sand,Incoming,sunny,,Rhizoprionodon terraenovae,M,M,86,65,71,,,,,157,,,585,,N,N,N,N,N,,Mature male with bite marks
Hsy6,2013/27,2013,41416,0.673611111,NT,28 ?05.623',82 ?49.992',NT,82.3,81,Tangle net,,4,sand,Outgoing,Sunny/calm,,Hypanus say,M,I,,,,,,34,,,,,648,,N,N,N,N,N,,immature male
Rt10,2013/32,2013,41417,0.613194444,NT,28 ?03.073',82 ?54.527',NT,76,85,Longline,,27,Sand,Outgoing,sunny/windy,,Rhizoprionodon terraenovae,M,M,90,68,74,,,,,67,,,544,,N,N,N,N,N,,Mature male
Ha7,2013/31,2013,41417,0.560416667,NT,28 ?11.413',82 ?50.827',NT,80.1,83,Tangle net,,2.4,Sand,Outgoing,sunny/windy,,Hypanus americanus,F,,,,,,,81,,,,,601,,N,N,N,N,N,,
Ha8,2013/31,2013,41417,0.560416667,NT,28 ?11.413',82 ?50.827',NT,80.1,83,Tangle net,,2.4,Sand,Outgoing,sunny/windy,,Hypanus americanus,F,,,,,,,41,,,,,626,,N,N,N,N,N,,
Gci7,2013/32,2013,41418,0.569444444,NT,28 ?07.932',82 ?50.199',NT,78,85,Longline,,10.7,Sand,Outgoing,sunny/windy,,Ginglymostoma cirratum,M,M,220.5,157,180,,,,,164,,,513,,N,N,N,N,N,,"Mature male, ejaculated on deck, weighed 150 lbs."
Rt11,2013/34,2013,41421,0.430555556,NT,28 ?04.453',82 ?50.913',NT,80,80,Longline,,12.9,Sand,Incoming,sunny/windy,,Rhizoprionodon terraenovae,M,M,90,67,74,,,,,69,,,589,,N,N,N,N,N,,Mature male
Gci8,2013/34,2013,41421,0.430555556,NT,28 ?04.453',82 ?50.913',NT,80,80,Longline,,12.9,Sand,Incoming,sunny/windy,,Ginglymostoma cirratum,M,M,231,164,182,,,,,174,,,590,,N,N,N,N,N,,"Mature male, ejaculated on deck"
Ha9,2013/33,2013,41421,0.361111111,NT,28 ?10.650',82 ?50.499',NT,73.3,74,Tangle net,,2.3,Seagrass,Outgoing,Sunny/calm,,Hypanus americanus,F,,,,,,,66,,,,,602,,N,N,N,N,N,,
Hsy7,2013/33,2013,41421,0.361111111,NT,28 ?10.650',82 ?50.499',NT,73.3,74,Tangle net,,2.3,Seagrass,Outgoing,Sunny/calm,,Hypanus say,M,M,,,,,,46.5,,,,,623,,N,N,N,N,N,,Mature male
Rt12,2013/35,2013,41422,0.693055556,NT,28 ?01.074',82 ?50.426',NT,80,88,Longline,,14.1,Sand,Outgoing,partly cloudy/windy,,Rhizoprionodon terraenovae,M,M,92,69,76,,,,,177,,,536,,N,N,N,N,N,,Mature male
Gci9,2013/35,2013,41422,0.693055556,NT,28 ?01.074',82 ?50.426',NT,80,88,Longline,,14.1,Sand,Outgoing,partly cloudy/windy,,Ginglymostoma cirratum,M,M,245,174,190,,,,,35,,,510,,N,N,N,N,N,,"Mature male, ejaculated on deck, weighed 190 lbs."
Gci10,2013/37,2013,41423,0.496527778,NT,28 ?06.089',82 ?51.707',NT,81,85,Longline,,16.1,Sand,Incoming,cloudy/windy,,Ginglymostoma cirratum,M,M,239,177,203,,,,,76,,,509,,N,N,N,N,N,,"Mature male, ejaculated on deck, 13/0 hook"
Ha10,2013/36,2013,41423,0.4375,NT,28 ?09.941',82 ?50.143',NT,76.7,81,Tangle net,,6,Sand,Incoming,sunny/windy,,Hypanus americanus,F,,,,,,,34.5,,,,,627,,N,N,N,N,N,,
Ha11,2013/38,2013,41424,0.378472222,NT,28 ?06.448',82 ?47.223',NT,75.7,77,Tangle net,,3.5,Sand,Outgoing,sunny/windy,,Hypanus americanus,F,,,,,,,47,,,,,603,,N,N,N,N,N,,
Hsy8,2013/39,2013,41424,0.477083333,NT,28 ?06.785',82 ?50.421',NT,77,81,Tangle net,,4,Sand,Incoming,sunny/windy,,Hypanus say,F,,,,,,,33,,,,,628,,N,N,N,N,N,,
Ca7,2013/40,2013,41425,0.401388889,1,28 ?04.821',82 ?51.134',NT,81,80,Longline,,14.7,Sand,Outgoing,cloudy/windy,,Carcharhinus acronotus,M,,48,35,39,,,,,67,,,693,,N,N,N,N,N,,
Rt13,2013/43,2013,41425,0.44375,NT,28 ?06.089',82 ?51.093',NT,81,80,Longline,,11.6,Sand,Outgoing,sunny/windy,,Rhizoprionodon terraenovae,M,M,103,76,83,,,,,133,,,523,,N,N,N,N,N,,Mature male
Ha12,2013/41,2013,41425,0.489583333,NT,28 ?05.940',82 ?50.128',NT,76.2,81,Tangle net,,4,Sand,Incoming,cloudy/windy,,Hypanus americanus,F,,,,,,,34.5,,,,,622,,N,N,N,N,N,,
Ha13,2013/42,2013,41425,0.534722222,NT,28 ?05.884',82 ?50.178',NT,76.9,81,Tangle net,,4,Sand,Incoming,cloudy/windy,,Hypanus americanus,M,I,,,,,,41.5,,,,,621,,N,N,N,N,N,,immature male
Rb1,2013/46,2013,41428,0.381944444,NT,28 ?06.538',82 ?46.772',NT,80.5,80,Cast net,,3.5,Seagrass,Outgoing,sunny/calm,,Rhinoptera bonasus,F,,,,,,,55,,,,,630,,N,N,N,N,N,,Caught in school of over 22 rays cruising edge of mangroves
Rt14,2013/47,2013,41428,0.5125,NT,28 ?00.930',82 ?53.910',NT,80,80,Longline,,27,Sand,Outgoing,cloudy/windy,,Rhizoprionodon terraenovae,M,M,90,67,73,,,,,165,,,593,,N,N,N,N,N,,Mature male
Bc1,2013/45,2013,41428,0.390972222,NT,28 ?06.577',82 ?47.000',NT,80.4,80,Tangle net,,3,Seagrass,Outgoing,cloudy/windy,,Bathytoshia centroura,F,,,,,,,61.5,,,,,620,,N,N,N,N,N,,notch in nose
Ca8,2013/44,2013,41428,0.502083333,1,28 ?06.366',82 ?49.659',NT,80.1,78,Tangle net,,9,Sand,Outgoing,cloudy/windy,,Carcharhinus acronotus,F,,120,90,100,,,,,,,,556,,N,N,N,N,N,,
Ha14,2013/44,2013,41428,0.502083333,NT,28 ?06.366',82 ?49.659',NT,80.1,78,Tangle net,,9,Sand,Outgoing,cloudy/windy,,Hypanus americanus,F,,,,,,,41,,,,,619,,N,N,N,N,N,,"barbed herself on right pectoral, 2 gashes on left side of disc, chunk out of tail on left side"
Gci12,2013/50,2013,41430,0.406944444,NT,28 ?04.809',82 ?51.405',NT,80,80,Longline,,17.5,Sand,Outgoing,cloudy/windy,,Ginglymostoma cirratum,M,M,197,133,156.5,,,,,85,,,516,,N,N,N,N,N,,"Mature male, ejaculated on deck, weighed 125 lbs."
Gci11,2013/50,2013,41430,0.406944444,NT,28 ?04.809',82 ?51.405',NT,80,80,Longline,,17.5,Sand,Outgoing,cloudy/windy,,Ginglymostoma cirratum,M,M,236,165,187,,,,,69,,,529,,N,N,N,N,N,,"Mature male, ejaculated on deck, weighed 170 lbs."
Ca9,2013/48,2013,41430,0.476388889,1,28 ?04.778',82 ?51.450',NT,80,77,Longline,,17,Sand,Outgoing,cloudy/windy,,Carcharhinus acronotus,F,,113,85,93,,,,,101,,,515,,N,N,N,N,N,,regurgitated stomach 
Rt15,2013/51,2013,41430,0.522222222,NT,28 ?03.184',82 ?',NT,80,80,Longline,,19,Sand,Outgoing,cloudy/windy,,Rhizoprionodon terraenovae,M,,93,69,76,,,,,122,,,524,,N,N,N,N,N,,
Ha15,2013/49,2013,41430,0.502777778,NT,28 ?06.416',82 ?47.058',NT,80,80,Tangle net,,4.7,Seagrass,Outgoing,cloudy/windy,,Hypanus americanus,F,,,,,,,40.5,,,,,631,,N,N,N,N,N,,
Gcu1,2013/53,2013,41432,0.451388889,NT,28 ?05.001',82 ?51.340',NT,80,80,Longline,,18,Seagrass,Incoming,cloudy/windy,,Galeocerdo cuvier,F,,148,101,114,,,,,192,,,505,,N,N,N,N,N,,"caught on gangion between anchor and ball, day after tropical storm"
Gcu2,2013/53,2013,41432,0.451388889,NT,28 ?05.001',82 ?51.340',NT,80,80,Longline,,18,Seagrass,Incoming,cloudy/windy,,Galeocerdo cuvier,F,,154,122,136,,,,,100,,,504,,N,N,N,N,N,,"Caught on bottom, regurgitated partially digested bird, day after tropical storm"
Ha16,2013/52,2013,41432,0.56875,NT,28 ?06.577',82 ?46.991',NT,77,81,Tangle net,,4.5,Seagrass,Outgoing,sunny/windy,,Hypanus americanus,F,,,,,,,50,,,,,618,,N,N,N,N,N,,
Gci13,2013/55,2013,41435,0.445833333,NT,28 ?04.840',82 ?51.349',NT,81,85,Longline,,15.5,Seagrass,Incoming,Sunny/calm,,Ginglymostoma cirratum,M,M,264,192,205,,,,,80,,,501,,N,N,N,N,N,,"Mature male, ejaculated on deck, weighed 240 lbs."
Sm1,2013/56,2013,41435,0.46875,NT,28 ?05.773',82 ?50.235',NT,80.2,81,Longline,,7.2,Sand,Incoming,partly cloudy/calm,,Sphyrna mokarran,F,,146,100,109,,,,,85,,,N/A,,N,Y,N,N,N,,"Dead on line, released according to regulation"
Ca10,2013/54,2013,41435,0.600694444,1,28 ?06.430',82 ?49.677',NT,81,81,Longline,,5,Sand,Outgoing,Cloudy/calm,,Carcharhinus acronotus,F,,107,80,90,,,,,72,,,123,,N,N,N,N,N,,
Ca11,2013/54,2013,41435,0.600694444,1,28 ?06.430',82 ?49.677',NT,81,81,Longline,,5,Sand,Outgoing,Cloudy/calm,,Carcharhinus acronotus,F,,115,85,94,,,,,76,,,564,,N,N,N,N,N,,
Ca12,2013/58,2013,41436,0.485416667,1,28 ?04.740',82 ?51.243',NT,81,85,Longline,,16,Sand,Incoming,partly cloudy/calm,,Carcharhinus acronotus,F,,100,72,81,,,,,86,,,546,,N,N,N,N,N,,Caught between ball and anchor
Cli4,2013/59,2013,41436,0.620138889,1,28 ?05.660',82 ?49.929',NT,82.5,85,Longline,,11,Seagrass,Outgoing,Sunny/calm,,Carcharhinus limbatus,M,I,110,76,87,,,,,69,,,102,,N,N,N,N,N,,immature male
Ca13,2013/59,2013,41436,0.620138889,1,28 ?05.660',82 ?49.929',NT,82.5,85,Longline,,11,Seagrass,Outgoing,Sunny/calm,,Carcharhinus acronotus,F,,117,86,97,,,,,134,,,562,,N,N,N,N,N,,Had another hook in its mouth
Rt16,2013/62,2013,41436,0.625,NT,28 ?04.820',82 ?51.407',NT,81,85,Rod/Reel,,16,Sand,Incoming,cloudy/calm,,Rhizoprionodon terraenovae,F,,52,39,42,,,,,60.5,,,675,,N,N,N,N,N,,
Ha17,2013/61,2013,41436,0.409722222,NT,28 ?05.680',82 ?50.196',NT,80.1,82,Tangle net,,3,Sand,Incoming,Sunny/calm,,Hypanus americanus,M,M,,,,,,46,,,,,617,,N,N,N,N,N,,Mature male
An1,2013/57,2013,41436,0.607638889,NT,28 ?05.614',82 ?50.006',NT,82.8,85,Tangle net,,2.2,Seagrass,Outgoing,Cloudy/calm,,Aetobatus narinari,M,I,,,,,,96,,,,,635,,N,N,N,N,N,,Immature male
Cle1,2013/60,2013,41436,0.642361111,NT,28 ?05.614',82 ?50.009',NT,83.4,85,Tangle net,,1.9,Seagrass,Outgoing,sunny/calm,,Carcharhinus leucas,M,I,181,129,146,,,,,,,,569,,N,N,N,N,N,,immature male
St3,2013/66,2013,41437,0.635416667,NT,28 ?05.630',82 ?49.9609',NT,83.8,92,Longline,,9,Sand,Outgoing,Sunny/calm,,Sphyrna tiburo,F,,95,69,77,,,,,32,,,559,,N,N,N,N,N,,
Gci14,2013/65,2013,41437,0.683333333,NT,28 ?08.034',82 ?55.721',NT,81,90,Longline,,28,Sand,Outgoing,Sunny/calm,,Ginglymostoma cirratum,M,,211,134,159,,,,,70,,,545,,N,N,N,N,N,,
Ca14,2013/63,2013,41437,0.833333333,1,28 ?04.430',82 ?51.355',NT,81,85,Longline,,15,Sand,Outgoing,sunny/calm,,Carcharhinus acronotus,M,I,45,32,36,,,,,68,,,676,,N,N,N,N,N,,"Neonate, immature male"
Rt17,2013/63,2013,41437,0.833333333,NT,28 ?04.430',82 ?51.355',NT,81,85,Longline,,15,Sand,Outgoing,sunny/calm,,Rhizoprionodon terraenovae,M,M,91,70,76,,,,,74,,,584,,N,N,N,N,N,,Mature male
Cle2,2013/64,2013,41437,0.722222222,NT,28 ?06.518',82 ?46.989',NT,88.3,92,Tangle net,,2,Seagrass,Outgoing,Sunny/calm,,Carcharhinus leucas,M,I,189,136,153,,,,,,,,161,,N,N,N,N,N,,"immature male, had 1 large hook in mouth, and 1 small hook in mouth"
St6,2013/72,2013,41438,0.458333333,NT,28 ?10.943',82 ?49.868',NT,81,85,Longline,,11.8,Sand,Incoming,sunny/calm,,Sphyrna tiburo,F,,89,68,75,,,,,75,,,547,,N,N,N,N,N,,
St5,2013/72,2013,41438,0.458333333,NT,28 ?10.943',82 ?49.868',NT,81,85,Longline,,11.8,Sand,Incoming,sunny/calm,,Sphyrna tiburo,F,,98,74,81,,,,,78,,,581,,N,N,N,N,N,,
St7,2013/73,2013,41438,0.5,NT,28 ?11.007',82 ?49.767',NT,81,85,Longline,,12.5,Sand,Outgoing,sunny/calm,,Sphyrna tiburo,F,,92,75,82,,,,,70,,,596,,N,N,N,N,N,,
St8,2013/73,2013,41438,0.5,NT,28 ?11.007',82 ?49.767',NT,81,85,Longline,,12.5,Sand,Outgoing,sunny/calm,,Sphyrna tiburo,F,,101,78,814,,,,,72,,,531,,N,N,N,N,N,,
St9,2013/73,2013,41438,0.506944444,NT,28 ?10.936',82 ?50.110',NT,84.4,92,Longline,,10,Seagrass,Incoming,sunny/calm,,Sphyrna tiburo,F,,97,70,77,,,,,48,,,553,,N,N,N,N,N,,
St10,2013/74,2013,41438,0.553472222,NT,28 ?10.971',82 ?50.154',NT,84.6,92,Longline,,5.4,Seagrass,Incoming,sunny/calm,,Sphyrna tiburo,F,,99,72,79,,,,,63,,,558,,N,N,N,N,N,,
Rt19,2013/70,2013,41438,0.600694444,NT,28 ?11.081',82 ?50.297',NT,85.1,92,Longline,,9.3,Seagrass,Incoming,sunny/calm,,Rhizoprionodon terraenovae,M,I,65,48,54,,,,,154,,,647,,N,Y,N,N,N,,"Died during processing, immature male"
St11,2013/75,2013,41438,0.777777778,NT,28 ?06.400',82 ?49.670',NT,85.4,87,Longline,,13,Sand,Outgoing,sunny/calm,,Sphyrna tiburo,F,,85,63,69,,,,,148,,,571,,N,N,N,N,N,,
Cli5,2013/67,2013,41438,0.44375,10,28 ?10.974',82 ?49.867',NT,81,85,Rod/Reel,,11,Sand,Incoming,sunny/calm,,Carcharhinus limbatus,F,,82,58,66,,,,,62,,,592,,N,N,N,N,N,,
St4,2013/71,2013,41438,0.44375,NT,28 ?10.974',82 ?49.867',NT,81,85,Rod/Reel,,11,Sand,Incoming,sunny/calm,,Sphyrna tiburo,F,,105,79,86,,,,,39,,,525,,N,N,N,N,N,,
Rt18,2013/69,2013,41438,0.5875,NT,28 ?13.092',82 ?49.140',NT,81,90,Rod/Reel,,10,Seagrass,Incoming,sunny/calm,,Rhizoprionodon terraenovae,F,,32,24,26,,,,,66,,,677,,N,N,N,N,N,,neonate
Ha18,2013/68,2013,41438,0.668055556,NT,28 ?11.557',82 ?50.873',NT,88.2,92,Tangle net,,3,Seagrass,Outgoing,Sunny/calm,,Hypanus americanus,F,,,,,,,56,,,,,604,,N,N,N,N,N,,No barb
Gci15,2013/76,2013,41439,0.738194444,NT,28 ?03.443',82 ?54.624',NT,81,90,Longline,,27,Sand,Outgoing,cloudy/windy,,Ginglymostoma cirratum,M,,225,154,178,,,,,74,,,540,,N,N,N,N,N,,
Rt20,2013/77,2013,41439,0.583333333,NT,28 ?05.547',82 ?50.074',NT,88,88,Rod/Reel,,6.5,Seagrass,Incoming,Cloudy/windy,,Rhizoprionodon terraenovae,M,I,28,20,21.5,,,,,53.5,,,678,,N,N,N,N,N,,neonate
Gci16,2013/81,2013,41442,0.547916667,NT,28 ?03.512',83 ?00.673',NT,81,94,Longline,,41.2,Artificial Reef,Outgoing,sunny/calm,,Ginglymostoma cirratum,M,M,231,148,176,,,,,80,,,527,,N,N,N,N,N,,"mature male, ejaculated on deck, weighed 165 lbs."
Ca16,2013/79,2013,41442,0.604166667,5,28 ?03.057',83 ?00.817',NT,81,93,Longline,,40,Artificial Reef,Outgoing,sunny/calm,,Carcharhinus acronotus,F,,104,74,82,,,,,159,,,532,,N,N,N,N,N,,
Ca15,2013/78,2013,41442,0.604166667,5,28 ?03.057',83 ?00.817',NT,81,93,Longline,,40,Artificial Reef,Outgoing,sunny/calm,,Carcharhinus acronotus,F,,113,80,90,,,,,84,,,522,,N,N,N,N,N,,
Gci17,2013/82,2013,41442,0.604166667,NT,28 ?03.057',83 ?00.817',NT,81,93,Longline,,40,Artificial Reef,Outgoing,sunny/calm,,Ginglymostoma cirratum,M,M,230,159,179,,,,,109,,,514,,N,N,N,N,N,,"mature male, ejaculated on deck, weighed 165 lbs."
Ca17,2013/80,2013,41442,0.6875,5,28 ?03.057',83 ?00.817',NT,81,90,Longline,,40,Artificial Reef,Outgoing,sunny/calm,,Carcharhinus acronotus,F,,119,84,94,,,,,141,,,538,,N,N,N,N,N,,
Cli6,2013/80,2013,41442,0.6875,5,28 ?03.057',83 ?00.817',NT,81,90,Longline,,40,Artificial Reef,Outgoing,sunny/calm,,Carcharhinus limbatus,F,,159,109,124,,,,,166,,,594,,N,N,N,N,N,,
Cle3,2013/80,2013,41442,0.6875,NT,28 ?03.057',83 ?00.817',NT,81,90,Longline,,40,Artificial Reef,Outgoing,sunny/calm,,Carcharhinus leucas,F,,193,141,158,,,,,71,,,595,,N,N,N,N,N,,
Gci18,2013/85,2013,41443,0.482638889,NT,28 ?04.822',82 ?51.169',NT,81,90,Longline,,15,Sand,Outgoing,sunny/calm,,Ginglymostoma cirratum,M,M,245,166,171,,,,,70,,,503,,N,N,N,N,N,,"mature male, ejaculated on deck"
